ImageNo,RoiNo,RoiMean,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,1438.879272,817.991211,2070.224609,283459.2188,264.713898,MACS,69.575272,-60.554775,7.521517,2.850084,116.11972,193.744949,0.461924,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245393130,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,14,66.674141,-75.038292,5.364547,217.054389,242.932689,67.048729,-73.059723,6.16924,221.157561,241.233289,67.655113,-70.045525,6.556715,227.444118,240.362641,68.005089,-68.33387,6.644318,231.019666,240.139633,68.552483,-65.6707,6.713742,236.585702,239.929718,69.020706,-63.330288,7.075705,241.464383,239.12846,69.501862,-60.826996,7.924152,246.662957,237.326066,69.923607,-58.637936,8.642975,251.209965,235.797305,70.302414,-56.706989,9.117763,255.2276,234.775221,70.721268,-54.616413,9.426817,259.586076,234.08874,71.115685,-52.765533,9.146641,263.468423,234.61593,71.600395,-50.562138,8.457079,268.105331,235.97318,71.863304,-49.452679,7.667568,270.458917,237.56304,72.069023,-48.719769,6.394012,272.045721,240.154471,,,,,,,,,,,,,,,,,,,,
38,0,1115.954712,45.443954,2024.78064,424062.7813,439.011047,MACS,68.631889,-58.382576,4.217873,3.771616,153.60437,371.253326,0.885137,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245393131,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,64.861122,-76.61235,4.301653,213.171168,245.030535,65.217476,-74.681778,5.301572,217.165675,242.932252,65.554024,-72.907433,6.008707,220.845962,241.437967,65.982849,-70.819374,6.071416,225.209674,241.256419,66.44912,-68.63607,5.717274,229.790284,241.926752,67.096077,-65.659119,4.971488,236.047166,243.379578,67.744942,-62.58709,4.642323,242.485158,243.976157,68.282837,-59.970295,4.709552,247.954309,243.771915,68.782944,-57.518269,4.864638,253.075201,243.391797,69.301445,-54.936817,5.215737,258.458379,242.606687,69.844032,-52.235455,5.583025,264.091623,241.785354,70.354965,-49.839863,5.210282,269.11694,242.488418,70.736275,-48.133465,4.537095,272.713872,243.824721,71.131935,-46.598598,2.695045,276.001822,247.560869,71.445496,-45.331211,1.482798,278.703668,250.013084,71.775871,-43.926861,0.539928,281.680453,251.909743,72.180717,-42.109749,-0.148689,285.509557,253.274849,,,,,
39,0,1469.957031,75.739922,2050.027344,418937.75,379.2276,MACS,67.139717,-58.29266,3.69523,3.79951,155.533737,270.643829,0.645265,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245393132,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,63.391178,-76.322441,4.22736,213.143676,245.054975,63.700794,-74.648674,5.078634,216.607501,243.267855,64.114143,-72.496605,5.815159,221.076388,241.703744,64.627319,-70.042,5.675925,226.215175,241.926752,65.205788,-67.384422,4.988612,231.801721,243.267855,65.722,-65.049759,4.196478,236.717498,244.831966,66.165016,-63.0704,3.398956,240.890498,246.416152,66.775665,-60.154564,3.209074,246.995942,246.731244,67.214165,-58.015594,3.291597,251.465267,246.5078,67.766541,-55.226101,3.856683,257.274386,245.278855,68.215179,-52.914906,4.536727,262.078441,243.826467,68.627319,-50.880749,4.729574,266.323885,243.379578,69.124092,-48.595062,4.156108,271.12794,244.496799,69.575348,-46.641136,3.041823,275.261226,246.730808,69.911858,-45.218727,2.042725,278.278163,248.742244,70.401199,-43.135647,0.660873,282.692935,251.521334,70.83754,-41.178448,-0.087397,286.817492,253.005145,,,,,
40,0,1671.864746,358.502319,2140.915283,392888.2188,300.373566,MACS,65.818428,-57.393486,3.086816,3.896414,160.539047,205.321014,0.489523,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245395133,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,15,62.003052,-75.646355,4.105694,213.925731,245.166697,62.461315,-73.221474,5.111198,218.953666,243.044411,62.886616,-71.13501,5.248888,223.310832,242.709244,63.427654,-68.635666,4.672775,228.561776,243.826467,63.994408,-66.090675,3.714496,233.924443,245.725744,64.488487,-63.862827,2.923686,238.616776,247.289855,65.338303,-59.843945,2.470347,247.04002,248.116861,65.903465,-56.96582,3.1653,253.028942,246.619522,66.435844,-54.284058,3.677205,258.615052,245.5023,67.0056,-51.444271,4.078129,264.53633,244.608522,67.573563,-48.781353,3.663528,270.12244,245.390577,68.124458,-46.346508,2.543075,275.261662,247.625022,68.683777,-43.915897,1.204613,280.40132,250.306355,69.210403,-41.586979,0.13998,285.316663,252.429077,69.739487,-39.141495,-0.416725,290.454139,253.507895,,,,,,,,,,,,,,,
41,0,1712.834473,580.672729,2196.457764,287756.1875,271.064056,MACS,64.635315,-55.848972,2.365461,4.21565,174.752441,126.512115,0.301628,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245395134,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,18,60.453117,-75.773689,3.88496,213.031951,245.501863,60.775894,-74.047623,4.681071,216.607501,243.826467,61.221157,-71.858513,4.848149,221.178073,243.428456,61.733871,-69.480545,4.348069,226.171969,244.392933,62.219574,-67.277664,3.632737,230.808877,245.80299,62.812035,-64.605042,2.690127,236.437757,247.666918,63.37159,-62.023582,2.077646,241.861957,248.856585,63.894405,-59.55093,1.79977,247.044384,249.363262,64.422409,-57.002773,1.766279,252.37432,249.36719,64.958595,-54.352428,2.036456,257.905005,248.746172,65.485474,-51.686264,2.60179,263.456203,247.519846,65.933197,-49.443581,2.970928,268.130207,246.706368,66.457077,-46.96294,2.706802,273.328781,247.184679,66.986664,-44.546211,1.998618,278.412578,248.574661,67.480896,-42.358742,1.008354,283.028975,250.548565,67.89212,-40.531792,0.217829,286.882955,252.122277,68.420921,-38.038475,-0.100329,292.110331,252.711001,68.916672,-35.74065,-0.590899,296.93621,253.658021
42,0,1619.334473,181.775818,2176.260498,327105.5625,401.712311,MACS,62.876553,-57.029762,1.936557,4.277838,176.794205,152.885986,0.364509,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245395135,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,18,58.861301,-76.29377,2.742346,211.35612,247.736308,59.182629,-74.507431,3.864795,215.043826,245.390577,59.637012,-72.209229,4.346959,219.829116,244.344055,60.159801,-69.753937,3.985404,224.978808,245.02268,60.673855,-67.426918,3.206781,229.878003,246.559297,61.24704,-64.852684,2.239406,235.302205,248.476467,61.783138,-62.417629,1.46733,240.427026,249.996937,62.387905,-59.614223,0.870198,246.314698,251.149508,63.001312,-56.613705,1.026364,252.582489,250.753244,63.711349,-53.072573,1.537247,259.965692,249.616362,64.005019,-51.623129,1.674757,262.990994,249.297713,64.395764,-49.667415,1.989409,267.067027,248.603225,64.990752,-46.770855,2.073649,273.120717,248.357009,65.103767,-46.215462,2.11428,274.280166,248.259569,65.632294,-43.804646,1.402335,279.351743,249.657406,66.18499,-41.321903,0.472085,284.583049,251.500822,66.721901,-38.85463,-0.162829,289.769402,252.739368,67.375664,-35.803265,-0.707245,296.173354,253.777599
43,0,1562.195801,237.318436,2135.865967,214020.8281,425.412445,MACS,61.346642,-57.115685,1.446783,4.216916,175.066635,90.075836,0.214758,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245396136,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,57.343967,-76.319824,2.247788,210.685786,248.630085,57.617134,-74.784904,3.281141,213.851539,246.473323,57.93861,-73.147514,3.677585,217.258632,245.619259,58.37067,-71.020645,3.852679,221.698714,245.20641,58.940037,-68.379089,3.301421,227.245986,246.269081,59.443047,-66.109665,2.502642,232.025601,247.848466,60.038765,-63.40242,1.651383,237.722999,249.524299,60.678493,-60.448963,0.961461,243.928382,250.86322,61.368164,-57.225113,0.410864,250.693249,251.909743,61.954739,-54.394699,0.371745,256.613654,251.918035,62.537724,-51.558216,0.446258,262.541914,251.693281,63.089489,-48.833458,0.711678,268.2284,251.080119,63.63377,-46.139469,1.003465,273.849424,250.413713,64.178261,-43.554436,0.761893,279.265332,250.843145,64.733139,-40.972572,0.261199,284.685605,251.803694,65.229309,-38.677303,-0.251697,289.507117,252.796538,65.7976,-35.998348,-0.596219,295.123778,253.434577,,,,,
44,0,1793.954346,1398.66394,2156.063232,163249.8438,145.121277,MACS,60.397083,-54.414917,0.851841,4.167046,173.913773,41.09758,0.097984,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245398137,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,16,56.1036,-74.773598,2.878532,213.255397,247.177696,56.62022,-72.201576,3.22805,218.618937,246.396077,57.129696,-69.758446,3.120043,223.732409,246.555369,57.763538,-66.842155,2.388001,229.861857,247.981573,58.364361,-64.108673,1.544286,235.613805,249.641259,58.93866,-61.430592,1.054336,241.23483,250.577369,59.515701,-58.747482,0.52449,246.868072,251.595088,60.203564,-55.503231,0.115252,253.669599,252.351395,60.758774,-52.810635,0.143853,259.298915,252.224398,61.352242,-49.910015,0.283373,265.358536,251.864792,61.931137,-47.09288,0.360046,271.246209,251.636111,62.532616,-44.183533,0.354019,277.33027,251.574577,62.983437,-42.044838,0.146085,281.811377,251.946402,63.510654,-39.607162,-0.404783,286.932269,253.013437,64.063026,-36.954525,-0.503451,292.483466,253.148289,64.5821,-34.669304,-1.602677,297.308906,255.34302,,,,,,,,,,
45,0,1710.844116,610.96875,2110.619141,236096.4844,229.90976,MACS,59.264755,-52.615467,0.175007,4.187708,174.273651,107.269203,0.25575,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245399138,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,54.800705,-73.787018,2.262393,214.707786,248.294919,55.279964,-71.389008,2.644729,219.706046,247.450456,55.806286,-68.866112,2.528288,224.986667,247.625022,56.345272,-66.365448,2.006666,230.238046,248.630522,56.981117,-63.44212,1.261753,236.382768,250.08291,57.663319,-60.306244,0.459697,242.97438,251.647021,58.315018,-57.272762,-0.123035,249.342545,252.764244,58.867725,-54.661041,-0.427978,254.816934,253.322855,59.451248,-51.843822,-0.45948,260.709408,253.315872,60.002312,-49.140476,-0.281524,266.354871,252.882512,60.53241,-46.526035,-0.042635,271.811803,252.32652,61.074009,-43.924183,-0.134717,277.256515,252.449152,61.525215,-41.78569,-0.352655,281.737624,252.841489,62.084835,-39.178085,-0.839819,287.211139,253.773671,62.53186,-37.028587,-0.906283,291.708831,253.855281,62.955189,-35.153889,-1.749354,295.664931,255.535478,63.284325,-33.792408,-2.870986,298.559672,257.799599,,,,,
46,0,1839.63855,1257.282715,2100.520508,198680.9688,124.337631,MACS,57.553391,-53.564396,-0.241753,3.898885,162.702866,35.844959,0.085461,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245399139,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,18,53.635391,-72.10273,1.801148,217.612563,249.076974,54.029587,-70.17762,1.886321,221.634562,248.85353,54.514931,-67.83609,1.85198,226.532447,248.86444,55.001801,-65.568542,1.422906,231.292424,249.686209,55.485004,-63.349056,0.846851,235.958137,250.810414,55.958858,-61.174633,0.271563,240.529582,251.934183,56.410896,-59.101887,-0.284781,244.887622,253.021729,56.855,-57.046463,-0.738917,249.205074,253.900232,57.306786,-54.91708,-1.01466,253.669599,254.411274,57.756859,-52.734455,-0.991884,258.232753,254.309152,58.241699,-50.383163,-0.967147,263.14853,254.198739,58.682934,-48.213226,-0.798551,267.678953,253.798111,59.145538,-45.941376,-0.637181,272.422784,253.409701,59.580982,-43.844551,-0.68723,276.809627,253.459016,60.104858,-41.344219,-0.855777,282.045297,253.74094,60.593155,-39.04269,-1.153466,286.870736,254.292569,61.084324,-36.753563,-1.578765,291.675664,255.106046,61.572388,-34.627884,-2.723918,296.169429,257.39897
47,0,1838.390869,1343.121338,2211.605713,213253.3438,169.240936,MACS,56.2575,-52.493484,-0.613268,3.888536,162.162735,90.047997,0.214691,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245401140,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,16,52.333153,-71.056984,1.456637,219.177112,249.636022,52.861084,-68.484695,1.541877,224.552432,249.395993,53.318039,-66.303169,1.397725,229.120387,249.636022,53.865337,-63.761295,0.880917,234.457742,250.630611,54.320747,-61.698898,0.195232,238.799634,251.983497,54.887745,-59.095455,-0.485246,244.272713,253.311944,55.427982,-56.569054,-0.911356,249.573845,254.121058,56.057232,-53.558872,-1.080258,255.875676,254.390762,56.598583,-50.922134,-0.997306,261.385851,254.153789,57.065678,-48.637627,-0.879962,266.158048,253.855281,57.565437,-46.196297,-0.768604,271.258429,253.565065,58.049236,-43.898861,-0.980635,276.071649,253.941255,58.620415,-41.203854,-1.315141,281.721477,254.558345,59.172668,-38.603466,-1.664438,287.174045,255.208167,59.727139,-36.078125,-2.429764,292.487395,256.712489,60.249504,-33.827065,-3.771957,297.251739,259.406042,,,,,,,,,,
48,0,1823.411987,1242.134766,2145.9646,258924.5,166.509781,MACS,54.833717,-52.003113,-0.798763,3.743088,156.422607,82.535477,0.19678,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245401141,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,16,50.950703,-70.443184,0.899626,219.847445,250.641522,51.429241,-68.088554,1.088508,224.763221,250.194633,51.880859,-65.897484,1.115863,229.343833,250.08291,52.416958,-63.372593,0.779638,234.63798,250.707857,53.016125,-60.630814,0.015041,240.403895,252.205196,53.557213,-58.131268,-0.561291,245.655275,253.322855,54.092014,-55.62838,-0.973901,250.906656,254.10491,54.625282,-53.065643,-1.060175,256.269322,254.216632,55.178589,-50.394962,-1.093272,261.855433,254.216632,55.718739,-47.776585,-1.071205,267.329822,254.10491,56.198765,-45.472309,-1.161521,272.152206,254.231471,56.693127,-43.11076,-1.310457,277.096787,254.476736,57.139233,-41.002228,-1.554008,281.51636,254.922315,57.691555,-38.403969,-1.915206,286.965001,255.596576,58.159966,-36.270191,-2.559836,291.454402,256.863489,58.591076,-34.36095,-3.418025,295.483382,258.573799,,,,,,,,,,
49,0,1771.263428,1014.914978,2186.359131,348938.9063,182.625519,MACS,52.863876,-54.126339,-0.844558,3.622463,151.222137,145.987,0.34806,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245401142,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,49.377125,-70.850441,-0.123852,218.402472,252.628955,49.663708,-69.346237,0.445659,221.523715,251.423577,50.040512,-67.471428,0.695003,225.433555,250.864966,50.405643,-65.708984,0.67337,229.119952,250.86453,50.90995,-63.308491,0.479867,234.147887,251.200133,51.389423,-61.072681,0.070559,238.840657,251.982188,51.86462,-58.835064,-0.229741,243.532554,252.540799,52.364132,-56.491314,-0.585871,248.448768,253.211133,52.852535,-54.201183,-0.941337,253.252822,253.881466,53.331093,-51.919029,-1.104411,258.032002,254.157717,53.756905,-49.871521,-1.167689,262.316287,254.235398,54.219173,-47.658306,-1.282854,266.949268,254.415201,54.660122,-45.544724,-1.380805,271.373206,254.562273,55.153965,-43.206997,-1.633154,276.272399,255.020072,55.732876,-40.507504,-2.127427,281.938374,255.964474,56.223011,-38.237293,-2.620201,286.706643,256.916731,56.741119,-35.916584,-3.524603,291.597981,258.711269,,,,,
50,0,1844.399048,1484.502563,2176.260498,247149.4688,137.929398,MACS,51.843132,-51.724205,-1.217165,3.278042,136.974442,122.845825,0.292887,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245404143,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,14,48.509365,-67.608948,-0.016028,224.53934,252.205196,48.983719,-65.25209,0.28185,229.455117,251.534863,49.411163,-63.166546,0.36482,233.81272,251.311855,49.880173,-60.925182,0.22802,238.50549,251.535299,50.412796,-58.421608,-0.130091,243.755998,252.205633,50.923328,-56.024654,-0.48688,248.783498,252.875966,51.487099,-53.359516,-0.792478,254.369608,253.434577,52.052963,-50.695496,-1.152577,259.955719,254.10491,52.700428,-47.659996,-1.626095,266.323449,254.998251,53.330647,-44.674183,-1.935883,272.580329,255.557299,53.847992,-42.225723,-2.202804,277.711696,256.042156,54.283569,-40.17458,-2.477585,282.012565,256.553198,54.777313,-37.902103,-3.044082,286.78869,257.656455,55.203289,-36.048256,-4.050433,290.708131,259.671819,,,,,,,,,,,,,,,,,,,,
51,0,1890.582275,1378.466675,2262.099121,134231.3438,176.287369,MACS,50.447487,-51.075733,-1.296311,2.817325,117.992104,63.929672,0.15242,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245404144,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,13,47.506462,-65.062279,-0.10636,229.231673,252.205196,48.007187,-62.600609,0.08098,234.371331,251.758744,48.449875,-60.463863,0.0545,238.840657,251.758744,48.954128,-58.063583,-0.138792,243.868156,252.09391,49.431866,-55.802765,-0.386137,248.606313,252.543418,49.937447,-53.436291,-0.774497,253.571405,253.279213,50.465492,-50.968727,-1.199878,258.749468,254.088326,50.927731,-48.795341,-1.507475,263.307385,254.663521,51.467648,-46.261593,-1.890448,268.622046,255.384042,51.927189,-44.101349,-2.198515,273.15247,255.960547,52.530518,-41.249481,-2.526879,279.130044,256.561053,52.92963,-39.387875,-2.865099,283.037267,257.206947,53.282177,-37.790802,-3.393414,286.399407,258.249106,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,1910.495361,1625.883667,2145.9646,135645.1719,105.936745,MACS,48.919254,-51.116604,-1.60694,2.384238,99.822922,57.513035,0.137122,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245404145,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,10,46.489849,-62.626663,-0.413586,233.700999,252.652521,46.996799,-60.168533,-0.389533,238.84022,252.540799,47.452602,-57.979683,-0.471174,243.420831,252.652521,48.023254,-55.258923,-0.66843,249.118664,252.987688,48.645355,-52.340813,-1.116005,255.239819,253.830842,49.198635,-49.764587,-1.606615,260.647873,254.770879,49.770489,-47.083134,-2.022726,266.272825,255.555553,50.371857,-44.28672,-2.573982,272.143914,256.614296,50.860065,-42.008991,-2.985083,276.924403,257.39897,51.383652,-39.647907,-3.822261,281.897351,259.054728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,1841.482056,1302.726685,2145.9646,116013.3672,187.12413,MACS,47.472218,-50.761696,-1.903726,2.043757,85.538857,46.423592,0.110682,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245406146,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,8,45.331364,-60.886955,-0.766272,236.717061,253.210696,45.951801,-57.879044,-0.739242,243.005801,253.078899,46.561161,-54.975948,-0.960692,249.085933,253.459016,47.180195,-52.071266,-1.401496,255.178721,254.288641,47.808689,-49.150063,-1.984118,261.312097,255.408482,48.427532,-46.245514,-2.421094,267.404448,256.230251,48.991245,-43.648888,-3.057618,272.861381,257.468796,49.525745,-41.235924,-3.899266,277.942996,259.13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,1837.213013,1428.959961,2044.978027,62465.24219,128.190994,MACS,46.097912,-50.04752,-2.165049,1.859155,77.841476,33.771751,0.080518,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245406147,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,8,44.133507,-59.303738,-0.953904,239.398831,253.434577,44.684071,-56.691116,-1.204127,244.872784,253.881029,45.223003,-54.116791,-1.367203,250.262944,254.149861,45.864578,-51.102493,-1.805323,256.58485,254.971194,46.450157,-48.332668,-2.114988,262.390041,255.535478,46.945354,-46.021599,-2.528416,267.240356,256.32408,47.529106,-43.361492,-3.327352,272.836942,257.893864,47.953522,-41.450325,-4.019055,276.862868,259.262898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
