ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,9011.010742,5296.114258,819.900513,23090.17188,3919789.5,6757.450684,LACS,120.785248,-43.037601,-9.774261,3.035786,137.753372,391.602966,0.749553,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144552386,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,9,118.897331,-58.535988,-5.62654,165.873494,172.964453,119.315239,-54.838089,-5.890779,174.392449,173.347069,119.837639,-50.345131,-6.538065,184.766137,174.55805,120.422356,-45.419144,-7.514593,196.15854,176.496002,120.996452,-40.689602,-8.735258,207.116674,179.004052,121.454933,-37.148315,-10.286991,215.36684,182.340468,121.80722,-34.761345,-12.297008,220.996083,186.794123,122.063469,-33.294987,-14.419662,224.517111,191.560567,122.272583,-32.30579,-16.659475,226.949595,196.623538,,,,,,,,,,,,,,,,,,,,
8,0,7681.996582,3900.067383,199.435257,22779.93945,4824294,6925.053223,LACS,118.742043,-43.38501,-9.973913,3.523386,158.347168,606.386108,1.160661,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144562387,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,10,116.657089,-60.844376,-6.233747,160.102681,174.300741,117.027016,-57.378628,-5.996669,168.052495,173.550812,117.504395,-53.164124,-6.322129,177.763299,174.042475,118.152,-47.627304,-7.205496,190.553209,175.730768,118.69471,-43.034214,-8.060364,201.171771,177.410455,119.169754,-39.107376,-9.037885,210.26752,179.410583,119.561478,-36.137154,-10.499361,217.198616,182.574821,119.921097,-33.740772,-12.649747,222.859425,187.348917,120.233887,-31.996847,-15.353272,227.059635,193.427127,120.499016,-30.819288,-18.380447,229.980874,200.279438,,,,,,,,,,,,,,,
9,0,8510.948242,5562.027832,332.39209,23799.27539,5293810,7226.688477,LACS,116.68177,-43.736904,-9.804133,3.459309,155.648315,579.175781,1.108579,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144572388,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,10,114.71328,-60.364227,-6.62335,160.726346,174.972233,115.065063,-57.059189,-6.375368,168.305977,174.206999,115.479568,-53.314667,-6.449677,176.918673,174.152477,115.9776,-49.003887,-6.999758,186.8667,175.152062,116.479507,-44.73695,-7.743598,196.727682,176.597395,117.025291,-40.14254,-8.663748,207.353896,178.426302,117.476952,-36.596191,-10.051238,215.604062,181.386796,117.897987,-33.643696,-12.209501,222.543767,186.145588,118.209412,-31.950975,-15.007738,226.632981,192.443454,118.49305,-30.556725,-17.917356,230.044005,199.013934,,,,,,,,,,,,,,,
10,0,7788.942871,3634.153564,88.637894,24530.53711,6153265,7249.565918,LACS,114.708641,-43.5345,-10.220045,3.719323,165.791687,739.0578,1.414603,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144582389,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,112.672455,-60.826035,-7.155989,159.194924,176.027297,112.961784,-58.039444,-6.784827,165.574097,175.01145,113.321358,-54.744236,-6.734431,173.145119,174.698662,113.69445,-51.462677,-7.018703,180.708489,175.152062,114.030716,-48.514267,-7.297586,187.505669,175.613115,114.491852,-44.480782,-7.704045,196.806118,176.300868,114.920044,-40.868397,-8.406889,205.159591,177.691678,115.410591,-36.857212,-9.523395,214.459082,180.004595,115.771378,-34.298317,-11.302014,220.467116,183.91876,116.125992,-32.158367,-13.968508,225.575045,189.888533,116.442436,-30.580544,-17.159828,229.427992,197.092243,116.660675,-29.583727,-19.584301,231.891085,202.577049,,,,,
11,0,7328.839355,3080.166748,155.116318,24020.86914,6090265.5,6905.77002,LACS,112.546951,-44.797916,-10.020562,3.870481,171.692078,831.154358,1.590881,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144592390,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,11,110.510651,-62.615097,-8.240533,154.651669,178.424086,110.842323,-59.230453,-7.349381,162.368729,176.183213,111.180016,-56.045467,-7.081105,169.670964,175.378761,111.630608,-52.059959,-7.370024,178.852799,175.800596,112.040543,-48.374596,-7.487119,187.332535,175.847468,112.485291,-44.403198,-7.680302,196.475155,176.05121,113.012047,-39.96209,-8.551683,206.745536,177.777767,113.477898,-36.329514,-10.044325,215.201358,180.973571,113.962029,-32.881546,-12.396266,223.293696,186.145588,114.264725,-31.148592,-14.901519,227.45465,191.771006,114.610321,-29.726549,-19.123962,231.022547,201.342155,,,,,,,,,,
12,0,6375.130859,2215.947266,310.232635,24331.10156,6795889.5,6732.42627,LACS,110.375389,-46.180069,-9.891835,4.140534,181.874817,1013.596619,1.940087,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144602391,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,108.328094,-64.712173,-9.616352,149.421036,181.505457,108.565056,-62.024418,-8.31988,155.507458,178.379431,108.888458,-58.780209,-7.588043,162.912999,176.511307,109.244568,-55.415375,-7.290179,170.626546,175.62842,109.678879,-51.569889,-7.5587,179.485074,176.011993,110.108765,-47.613552,-7.45745,188.572213,175.543287,110.489922,-44.185867,-7.564022,196.458893,175.581549,110.980606,-40.051907,-8.383016,206.019521,177.206712,111.48333,-36.067768,-9.837193,215.280751,180.29347,111.881577,-33.183849,-11.655285,222.038714,184.27842,112.253448,-30.911787,-14.382955,227.45465,190.380195,112.601997,-29.644066,-19.048904,230.699237,200.974843,,,,,
13,0,7234.823242,2792.09375,221.594727,25239.64063,6880317,7050.364746,LACS,108.620728,-43.918972,-10.138428,3.87263,169.887894,900.332825,1.723293,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144602392,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,106.601982,-62.027298,-9.462251,155.074147,180.801394,106.887665,-59.111973,-8.694604,161.72115,178.871094,107.142822,-56.437263,-7.83574,167.808575,176.746615,107.553444,-52.530079,-7.42536,176.760844,175.573896,107.943069,-48.799927,-6.980221,185.303712,174.332306,108.358864,-45.011803,-6.976621,194.011105,174.096996,108.826118,-41.090427,-7.793805,203.08294,175.730768,109.263031,-37.60379,-8.998619,211.18293,178.277082,109.750191,-33.875877,-10.733006,219.875018,182.020026,110.131432,-31.276377,-12.868219,226.001664,186.747252,110.397736,-29.876896,-15.37853,229.396428,192.404236,110.592339,-29.385944,-18.514179,230.747063,199.545771,,,,,
14,0,6612.249023,2592.658447,155.116318,23356.08594,6817228.5,6802.699707,LACS,106.750412,-42.72163,-10.410963,3.912784,169.583572,996.523865,1.907409,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144612393,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,11,104.688751,-61.380848,-10.12641,156.099557,182.090811,105.04081,-57.596687,-8.711895,164.697907,178.629088,105.48011,-53.116264,-7.537726,174.913764,175.675289,105.87558,-49.171719,-6.698341,183.921511,173.519247,106.222061,-45.918545,-6.459042,191.382531,172.77697,106.703407,-41.799709,-7.106984,200.896287,174.011866,107.23774,-37.594212,-8.723806,210.677876,177.457326,107.75724,-33.693638,-10.75635,219.787972,181.871762,108.160957,-30.977163,-13.106264,226.19871,187.082998,108.468735,-29.459515,-16.251677,229.91009,194.185315,108.619171,-29.22966,-19.042101,230.636103,200.553009,,,,,,,,,,
15,0,7059.870605,2880.731445,110.797363,25283.95898,7490522.5,6999.103027,LACS,104.706696,-42.802296,-9.946369,3.880627,166.54364,1040.880127,1.99231,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144622394,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,102.800713,-60.38855,-10.505598,157.899769,182.707779,103.080399,-57.331047,-9.256489,164.839474,179.667892,103.334648,-54.328918,-7.57595,171.62135,175.64468,103.623253,-51.133114,-6.187,178.869061,172.276699,104.007439,-47.302612,-5.375164,187.616628,170.190483,104.374237,-44.072182,-5.644291,195.061387,170.612318,104.838722,-40.360733,-6.913553,203.682691,173.292545,105.326385,-36.603493,-8.587231,212.437912,176.894879,105.837776,-32.963799,-11.077628,220.980778,182.372033,106.2248,-30.524767,-13.734392,226.775504,188.301631,106.421623,-29.593945,-15.843008,229.064507,193.068075,106.610374,-29.024405,-18.656141,230.572972,199.467335,,,,,
16,0,6587.164551,2481.861084,199.435257,25837.94531,6844064,6840.603516,LACS,102.696281,-42.656181,-9.668897,3.835515,162.955215,1035.679688,1.982356,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144632395,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,100.907776,-59.277397,-10.484693,159.944852,182.402643,101.187874,-56.350273,-9.563848,166.608117,180.121292,101.414635,-53.662125,-8.039042,172.679284,176.473045,101.652382,-50.785007,-6.296666,179.169415,172.315918,101.998535,-47.052719,-4.87744,187.648194,168.846544,102.375359,-43.696068,-5.061209,195.377046,169.065592,102.793388,-40.392082,-6.292188,203.059027,171.682688,103.224365,-37.079258,-7.790253,210.780226,174.910057,103.729156,-33.475609,-10.221564,219.236048,180.254252,104.082336,-31.286425,-12.735426,224.446328,185.872017,104.391342,-29.770145,-15.911749,228.15675,193.045118,104.598206,-29.047073,-18.752745,230.020093,199.4989,,,,,
17,0,6964.890625,2836.412598,310.232635,23112.33008,5864438,6991.542969,LACS,100.602669,-42.960575,-8.639854,3.431873,145.512863,813.384277,1.556868,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144642396,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,99.039673,-57.958553,-10.50907,162.470545,182.188623,99.348701,-54.677319,-9.366515,169.932099,179.379017,99.477943,-52.760159,-7.555067,174.210705,175.121452,99.631775,-50.507961,-5.471734,179.240199,170.22205,99.910217,-47.497692,-4.31048,186.077553,167.385904,100.245834,-44.433582,-4.291665,193.119609,167.159205,100.683212,-40.962143,-5.544181,201.188032,169.815519,101.146477,-37.446918,-7.266307,209.390371,173.54316,101.51828,-34.844002,-9.182848,215.509365,177.770115,101.833153,-32.785694,-11.16334,220.381028,182.175943,102.11525,-31.163908,-13.481632,224.273194,187.380482,102.281509,-30.488989,-15.535447,225.970097,192.036924,,,,,
18,0,7126.55957,3456.87793,265.913696,22558.34375,5622855.5,6509.730469,LACS,98.573776,-42.742584,-7.774683,3.219599,134.151657,740.656921,1.417664,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144652397,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,97.280197,-55.471424,-10.095395,167.650746,180.902786,97.484146,-53.067425,-8.75763,173.081988,177.69933,97.541725,-51.624512,-6.509625,176.239529,172.471834,97.692726,-49.466976,-4.594886,181.063367,167.963656,97.952629,-46.706673,-3.632031,187.340188,165.596216,98.250076,-44.026478,-3.702282,193.506052,165.596216,98.594803,-41.388596,-4.9296,199.65661,168.244879,98.970459,-38.695835,-6.712149,205.972651,172.160002,99.308235,-36.12751,-7.954798,211.964424,174.847881,99.642059,-33.685863,-9.419567,217.680712,178.051337,99.953491,-31.922495,-12.045243,221.920102,183.950326,100.21476,-30.727205,-14.942955,224.872944,190.505502,,,,,
24,0,7439.23291,3855.748291,332.39209,24441.89844,7476429,6407.868652,MACS,86.066124,-46.84388,-8.371494,3.752772,161.780319,963.711792,1.844605,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144692403,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,10,84.21064,-63.496326,-7.770936,145.993805,174.923693,84.52388,-60.084389,-6.402183,153.739773,171.588947,84.942406,-55.785667,-5.209867,163.536664,168.604538,85.351906,-51.814186,-4.617133,172.623805,167.010941,85.751762,-48.110538,-4.464923,181.126498,166.440844,86.287354,-43.63818,-5.456743,191.477228,168.44097,86.767502,-39.982929,-7.212657,200.003835,172.237482,87.263214,-36.885162,-10.67972,207.370157,179.980681,87.604805,-35.036629,-13.768971,211.83816,186.934734,87.957779,-33.604763,-18.131796,215.43858,196.826325,,,,,,,,,,,,,,,
25,0,11237.29297,10968.93945,2060.831055,23489.04102,3674594.75,4380.375488,MACS,83.62896,-50.702984,-8.384882,2.995392,136.871704,338.759979,0.648408,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144702404,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,9,81.933884,-65.977913,-7.988276,139.79723,175.378761,82.379181,-61.661713,-7.349785,149.673516,173.659859,82.866814,-57.113228,-7.086289,160.110333,172.784622,83.302536,-53.053211,-6.861439,169.427045,172.027042,83.710625,-49.28907,-6.744696,178.071305,171.534424,84.07019,-46.264801,-7.357256,185.066491,172.754013,84.405464,-43.779682,-8.747882,190.877476,175.785292,84.764069,-41.312336,-10.701863,196.687507,180.105988,85.227867,-37.874916,-12.62648,204.725321,184.301377,,,,,,,,,,,,,,,,,,,,
26,0,11902.61426,12608.74023,0,22713.46094,6201262,6076.068359,MACS,82.2136,-46.239479,-10.803866,4.094481,188.185913,476.747711,0.912525,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144712405,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,12,79.907822,-66.049675,-7.89537,139.118085,174.979885,80.266441,-62.720459,-7.740453,146.759892,174.426046,80.696617,-58.968666,-8.14622,155.412762,175.129105,81.172417,-54.819611,-8.596697,164.981999,175.910599,81.553238,-51.302547,-8.476821,173.058074,175.425633,81.881149,-48.251167,-8.317556,180.060912,174.878491,82.291992,-44.789715,-9.003059,188.066203,176.238692,82.801003,-41.018177,-11.117544,196.885511,180.848264,83.364243,-36.737385,-13.194347,206.872756,185.341137,83.850449,-32.62981,-13.978348,216.370251,186.887864,84.244034,-29.70912,-15.602489,223.198998,190.427065,84.533775,-27.877434,-17.577454,227.549346,194.83385,,,,,
27,0,12116.43262,13561.59766,620.465271,25372.59766,7439489.5,7140.499512,MACS,80.416191,-44.651211,-11.744535,4.266596,193.089508,585.491943,1.120668,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144722406,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,13,77.967064,-65.796227,-8.907707,139.264763,177.089109,78.391151,-61.819092,-8.626287,148.386967,176.207127,78.878838,-57.656799,-9.309249,158.003075,177.519501,79.293495,-54.057312,-9.741977,166.307763,178.293343,79.656403,-50.697525,-9.607937,174.021311,177.78542,79.989105,-47.53809,-9.290891,181.26137,176.870966,80.358086,-44.435749,-9.922224,188.43734,178.128818,80.776398,-41.288151,-11.542277,195.787402,181.645063,81.274429,-37.371185,-13.056178,204.898455,184.872432,81.706116,-33.761837,-13.844267,213.250971,186.458377,82.059433,-30.669468,-14.150769,220.381028,186.973952,82.415474,-28.077354,-15.742457,226.452193,190.458631,82.644493,-27.296923,-18.936716,228.472409,197.716865
28,0,14328.50684,17018.47656,1063.654785,25660.66992,5932002,6058.155762,MACS,78.437729,-44.638634,-12.506182,4.165853,191.180679,365.41861,0.699434,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144732407,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,13,75.914825,-66.436546,-9.622876,137.335938,178.57231,76.313187,-62.644024,-9.219973,146.025158,177.423566,76.84008,-58.120594,-9.892864,156.470696,178.691263,77.35453,-53.892673,-11.011702,166.268548,180.996528,77.794128,-50.118187,-11.571985,174.984547,182.051592,78.186111,-46.638676,-11.792849,182.998448,182.34812,78.561729,-43.429657,-12.311122,190.411641,183.341009,78.946213,-40.1642,-12.888596,197.95875,184.465902,79.339119,-36.837955,-13.505308,205.648383,185.676883,79.66272,-34.098869,-14.014193,211.980685,186.676468,79.945854,-31.478701,-13.912215,217.996371,186.286199,80.255005,-29.100636,-14.982572,223.538569,188.591463,80.577003,-27.341516,-17.854074,227.785613,195.052898
29,0,14061.86035,16974.15625,1440.365723,23200.96875,4373238.5,6121.726562,MACS,76.54068,-43.887089,-13.273713,4.169693,190.893524,299.069153,0.572437,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144742408,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,11,73.996391,-65.682655,-9.908128,138.581463,178.988748,74.462112,-61.574409,-10.233819,148.04805,179.487315,75.106819,-56.150951,-11.329947,160.592431,181.668976,75.61232,-51.868229,-12.115195,170.492631,183.208051,76.182579,-46.968853,-12.834625,181.805642,184.559643,76.703552,-42.470787,-13.437715,192.187938,185.669231,77.172447,-38.372852,-13.859241,201.637607,186.387593,77.688812,-33.819607,-14.224532,212.129905,186.950039,78.024345,-30.759037,-14.21273,219.164308,186.7396,78.349709,-28.266544,-15.364305,224.975295,189.223737,78.648369,-26.824039,-18.490593,228.512583,196.286836,,,,,,,,,,
30,0,17319.72656,18237.24609,5805.782227,22669.14063,2649918.25,3345.216064,MACS,74.222984,-46.686516,-13.356497,3.897578,180.796005,135.713776,0.259765,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144752409,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,11,72.010696,-65.907272,-11.089018,137.641186,181.512103,72.224045,-63.810867,-10.713536,142.433552,180.527742,72.618759,-60.288864,-10.891217,150.542054,180.722957,73.139099,-55.942905,-11.852534,160.600083,182.660909,73.662918,-51.591869,-12.878825,170.674374,184.747125,74.263489,-46.473324,-13.737424,182.501048,186.403854,74.846733,-41.423824,-14.378807,194.15363,187.567964,75.413582,-36.399048,-14.715464,205.727776,188.036669,75.768929,-33.148865,-14.681029,213.196448,187.763099,76.090988,-30.412683,-15.162655,219.52014,188.700509,76.413605,-28.152195,-16.820934,224.833726,192.357365,,,,,,,,,,
31,0,17327.63281,18303.72461,2016.512085,24220.30469,3569492.25,4532.687012,MACS,72.35183,-45.680397,-14.078084,4.010526,185.21994,198.28537,0.379531,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144752410,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,11,70.055626,-65.630959,-11.726428,137.813866,182.76252,70.403374,-62.346718,-11.439409,145.342941,181.909275,70.81514,-58.759964,-11.838803,153.615994,182.607644,71.285965,-54.866138,-12.802975,162.634922,184.579228,71.76429,-50.815586,-13.550645,171.998759,186.046276,72.308769,-46.167358,-14.310264,182.737313,187.504833,72.954086,-40.54332,-14.929062,195.708965,188.582854,73.554268,-35.197327,-15.222235,208.018412,188.932866,73.900826,-31.967632,-15.04223,215.429667,188.327613,74.268227,-28.997513,-15.96184,222.322136,190.252639,74.559525,-27.191807,-18.035032,226.619713,194.885624,,,,,,,,,,
32,0,18834.12891,19278.74219,10104.71973,23954.39063,2636778,2910.11499,MACS,70.448021,-44.940868,-14.724487,3.700292,171.591446,124.905807,0.239078,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144762411,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,10,68.235413,-64.01239,-12.084706,141.052212,183.294139,68.60984,-60.583298,-12.037814,148.931241,182.98135,69.078735,-56.566826,-12.658813,158.207776,184.160765,69.608414,-52.201694,-13.781253,168.321282,186.466029,70.223396,-46.982239,-14.714023,180.385178,188.286327,70.837372,-41.654465,-15.35935,192.677687,189.442785,71.452431,-36.268539,-15.886583,205.095502,190.325672,71.842041,-32.72065,-15.887141,213.250971,190.114276,72.160721,-30.111589,-16.604681,219.29918,191.598828,72.431824,-28.307007,-18.230518,223.562483,195.208814,,,,,,,,,,,,,,,
33,0,18592.14648,18990.66797,9063.224609,23865.75195,2361202.5,2745.447754,MACS,68.521812,-44.359318,-15.258312,3.455889,160.667526,143.940491,0.275511,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144772412,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,9,66.439804,-62.271423,-12.691811,144.589501,184.387466,66.838158,-58.633717,-12.667534,152.949669,184.113895,67.340111,-54.322254,-13.303377,162.905347,185.309571,68.032684,-48.492081,-14.47091,176.389706,187.630139,68.725487,-42.617065,-15.533796,189.96972,189.708703,69.25898,-38.021191,-16.176674,200.579672,190.903423,69.643471,-34.63287,-16.453703,208.387917,191.333866,70.029091,-31.416431,-17.176708,215.832676,192.794504,70.388535,-28.826841,-18.850304,221.903842,196.466665,,,,,,,,,,,,,,,,,,,,
34,0,18008.81641,18636.11719,10503.59082,21605.48633,1926943.375,2531.802246,MACS,66.484543,-44.684258,-15.535136,3.079769,143.334717,119.200516,0.228157,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144782413,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,8,64.648018,-60.425735,-13.127662,148.355401,185.082871,65.019432,-57.016911,-13.06309,156.186604,184.730864,65.54422,-52.495579,-13.694393,166.624379,185.903583,66.22731,-46.803276,-14.987972,179.800732,188.520679,66.935852,-40.825188,-16.149347,193.624662,190.818291,67.473633,-36.205936,-16.830482,204.291051,192.099099,67.847115,-33.092094,-17.534058,211.498588,193.521476,68.180756,-30.609354,-18.894089,217.301922,196.482926,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,18402.98828,18525.32031,12076.91309,22935.05469,1343418.125,2526.552979,MACS,64.471794,-44.755775,-15.738317,2.63757,122.905624,62.640884,0.119899,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144792414,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,8,62.905457,-58.197144,-13.723707,153.012799,186.121674,63.221954,-55.237652,-13.534844,159.802327,185.512358,63.714821,-51.049503,-14.269927,169.481568,186.942387,64.28521,-46.302349,-15.364736,180.471266,189.161562,64.818222,-41.839333,-16.322016,190.798084,191.083253,65.300278,-37.72102,-16.987091,200.311841,192.357365,65.59893,-35.168182,-17.395729,206.208916,193.138859,65.929459,-32.531017,-18.3085,212.335561,195.068203,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,15308.62109,15090.60156,12497.94336,20231.59961,474567.25,1279.903076,MACS,62.609554,-43.570858,-16.221228,1.662855,77.614098,15.938972,0.030508,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.112823080921032649087144802415,1.3.6.1.4.1.19291.2.1.2.112823080921032649087144502378,1.3.6.1.4.1.19291.2.1.1.112823080921032649087141392230,6,61.618053,-51.949085,-14.627129,166.931428,187.622487,62.013077,-48.538891,-15.085428,174.802806,188.466156,62.436714,-44.993782,-15.851342,183.0061,190.005231,62.81908,-41.812279,-16.587229,190.371466,191.497435,63.228771,-38.323864,-17.181002,198.432238,192.646241,63.541641,-35.807243,-17.995247,204.27479,194.357493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
